date,NearNadir_Composite_Snow_Free
2015-01-01,31968.30156185478
2015-02-01,34378.729066342115
2015-03-01,33654.358440712094
2015-04-01,35585.079265877604
2015-05-01,33121.99418655038
2015-06-01,32679.416209876537
2015-07-01,31605.951668009162
2015-08-01,30391.399639427662
2015-09-01,30631.515098780394
2015-10-01,30915.252070555463
2015-11-01,31975.767659522593
2015-12-01,29955.727076768875
2016-01-01,31793.758216775954
2016-02-01,32678.74607121013
2016-03-01,32283.64981022291
2016-04-01,33046.50832208991
2016-05-01,31365.81991662085
2016-06-01,35011.36837334186
2016-07-01,29695.68517907709
2016-08-01,31273.719015017152
2016-09-01,26402.19783999026
2016-10-01,21209.541971031576
2016-11-01,26612.930286876857
2016-12-01,26642.667028814554
2017-01-01,28738.683996349573
2017-02-01,28711.337610781193
2017-03-01,29352.97034581378
2017-04-01,32378.711898142472
2017-05-01,29834.75625783205
2017-06-01,31507.38425319642
2017-07-01,28119.034235335886
2017-08-01,29373.309991762042
2017-09-01,28080.579535420984
2017-10-01,28248.009895041585
2017-11-01,29793.43640628457
2017-12-01,30852.828858427703
2018-01-01,28285.032681060955
2018-02-01,30320.510844796896
2018-03-01,32478.18484956771
2018-04-01,30377.752521023154
2018-05-01,35819.73629094288
2018-06-01,27615.68668343872
2018-07-01,27836.885771766305
2018-08-01,27343.55438171327
2018-09-01,25015.700948452577
2018-10-01,28187.88718689978
2018-11-01,28241.59929521382
2018-12-01,29338.377091020346
2019-01-01,30090.64012014307
2019-02-01,29223.97480111569
2019-03-01,29130.479850761592
2019-04-01,29745.765544503927
2019-05-01,29123.062702395953
2019-06-01,27373.0473021809
2019-07-01,27308.59717918001
2019-08-01,25804.023826157674
2019-09-01,23098.11819951702
2019-10-01,23188.10001856275
2019-11-01,25642.10028488934
2019-12-01,27496.222223334014
2020-01-01,26798.97170079965
2020-02-01,27198.468300662935
2020-03-01,28106.26536342874
2020-04-01,27083.43910345249
2020-05-01,26770.212166223675
2020-06-01,24995.081539493985
2020-07-01,26276.776375858113
2020-08-01,23738.293217152357
2020-09-01,24475.21050632
2020-10-01,24058.46288593253
2020-11-01,24875.315170888323
2020-12-01,27207.95047984086
2021-01-01,26786.71198709437
2021-02-01,27239.906430125237
2021-03-01,27996.51381240785
2021-04-01,28410.09217179846
2021-05-01,29050.987666979432
2021-06-01,28482.888939196477
2021-07-01,27627.650093652308
2021-08-01,28564.37919476442
2021-09-01,26294.26216628775
2021-10-01,27751.972662336193
2021-11-01,29989.520975984633
2021-12-01,29225.608631521463
2022-01-01,29987.024151556194
2022-02-01,30766.91075372696
2022-03-01,31780.118773803115
2022-04-01,32619.112795367837
2022-05-01,32651.55802591145
2022-06-01,29814.099988512695
2022-07-01,32035.64997639507
2022-08-01,30279.611733205616
2022-09-01,28844.95513908565
2022-10-01,45555.35951939225
2022-11-01,30055.91925686039
2022-12-01,120155.77457226068
2023-01-01,31368.3456380032
2023-02-01,34429.9132257998
2023-03-01,34803.368490710855
2023-04-01,39728.85452273488
2023-05-01,36794.48691356927
2023-06-01,42306.0609266907
2023-07-01,34920.63099825382
2023-08-01,34107.888046599925
2023-09-01,34497.11317448318
2023-10-01,32129.696315705776
2023-11-01,36785.590002536774
2023-12-01,880128.7688165475
