date,gdp
2015-03-31,2978.5
2015-06-30,3060.3
2015-09-30,3033.5
2015-12-31,3001.6
2016-03-31,2963.6
2016-06-30,3086.2
2016-09-30,2985.1
2016-12-31,2922.9
2017-03-31,2979.9
2017-06-30,3349.1
2017-09-30,2964.0
2017-12-31,2999.6
2018-03-31,3290.6
2018-06-30,3246.3
2018-09-30,3024.1
2018-12-31,3054.7
2019-03-31,3083.6
2019-06-30,3364.9
2019-09-30,3007.9
2019-12-31,2988.3
2020-03-31,2858.5
2020-06-30,2159.0
2020-09-30,2306.6
2020-12-31,2454.4
2021-03-31,2507.2
2021-06-30,2934.2
2021-09-30,2931.4
2021-12-31,2911.8
2022-03-31,2963.0
2022-06-30,3212.9
2022-09-30,3187.8
2022-12-31,3137.8
2023-03-31,3256.0
2023-06-30,3246.2
2023-09-30,3212.8
2023-12-31,3116.4
