Category: All categories

Month,bahamas flights: (Worldwide)
2004-01,49
2004-02,55
2004-03,38
2004-04,46
2004-05,40
2004-06,48
2004-07,35
2004-08,30
2004-09,31
2004-10,25
2004-11,31
2004-12,38
2005-01,59
2005-02,57
2005-03,39
2005-04,34
2005-05,45
2005-06,41
2005-07,38
2005-08,34
2005-09,30
2005-10,36
2005-11,34
2005-12,37
2006-01,60
2006-02,44
2006-03,46
2006-04,41
2006-05,38
2006-06,39
2006-07,44
2006-08,35
2006-09,32
2006-10,33
2006-11,40
2006-12,40
2007-01,57
2007-02,55
2007-03,44
2007-04,41
2007-05,37
2007-06,34
2007-07,41
2007-08,38
2007-09,33
2007-10,37
2007-11,36
2007-12,37
2008-01,58
2008-02,48
2008-03,47
2008-04,33
2008-05,37
2008-06,40
2008-07,35
2008-08,33
2008-09,29
2008-10,30
2008-11,33
2008-12,34
2009-01,55
2009-02,46
2009-03,43
2009-04,42
2009-05,38
2009-06,38
2009-07,42
2009-08,41
2009-09,36
2009-10,41
2009-11,40
2009-12,39
2010-01,67
2010-02,56
2010-03,53
2010-04,43
2010-05,44
2010-06,44
2010-07,43
2010-08,37
2010-09,31
2010-10,34
2010-11,36
2010-12,36
2011-01,59
2011-02,56
2011-03,43
2011-04,37
2011-05,35
2011-06,42
2011-07,45
2011-08,39
2011-09,33
2011-10,34
2011-11,33
2011-12,32
2012-01,56
2012-02,45
2012-03,44
2012-04,38
2012-05,37
2012-06,40
2012-07,44
2012-08,38
2012-09,30
2012-10,33
2012-11,29
2012-12,37
2013-01,58
2013-02,45
2013-03,45
2013-04,40
2013-05,36
2013-06,41
2013-07,42
2013-08,36
2013-09,32
2013-10,32
2013-11,34
2013-12,35
2014-01,64
2014-02,52
2014-03,46
2014-04,39
2014-05,39
2014-06,41
2014-07,43
2014-08,40
2014-09,34
2014-10,36
2014-11,35
2014-12,41
2015-01,64
2015-02,55
2015-03,49
2015-04,43
2015-05,40
2015-06,45
2015-07,46
2015-08,44
2015-09,39
2015-10,40
2015-11,38
2015-12,45
2016-01,69
2016-02,60
2016-03,54
2016-04,49
2016-05,51
2016-06,52
2016-07,59
2016-08,49
2016-09,45
2016-10,44
2016-11,46
2016-12,54
2017-01,81
2017-02,67
2017-03,66
2017-04,57
2017-05,57
2017-06,61
2017-07,64
2017-08,55
2017-09,42
2017-10,41
2017-11,48
2017-12,58
2018-01,92
2018-02,78
2018-03,74
2018-04,64
2018-05,59
2018-06,63
2018-07,72
2018-08,65
2018-09,52
2018-10,55
2018-11,63
2018-12,69
2019-01,98
2019-02,86
2019-03,77
2019-04,69
2019-05,69
2019-06,67
2019-07,67
2019-08,64
2019-09,59
2019-10,46
2019-11,53
2019-12,62
2020-01,88
2020-02,72
2020-03,100
2020-04,28
2020-05,28
2020-06,37
2020-07,34
2020-08,26
2020-09,24
2020-10,25
2020-11,23
2020-12,26
2021-01,40
2021-02,39
2021-03,52
2021-04,48
2021-05,53
2021-06,58
2021-07,57
2021-08,44
2021-09,38
2021-10,43
2021-11,48
2021-12,49
2022-01,70
2022-02,71
2022-03,72
2022-04,66
2022-05,61
2022-06,62
2022-07,62
2022-08,59
2022-09,53
2022-10,46
2022-11,56
2022-12,59
2023-01,96
2023-02,75
2023-03,69
2023-04,59
2023-05,56
2023-06,58
2023-07,57
2023-08,50
2023-09,44
2023-10,46
2023-11,51
2023-12,59
2024-01,77
2024-02,60
2024-03,61
2024-04,54
2024-05,51
2024-06,62
2024-07,51
2024-08,53
2024-09,46
2024-10,46
2024-11,52
2024-12,63
2025-01,75
2025-02,69
2025-03,67
2025-04,53
2025-05,60
2025-06,56
2025-07,62
2025-08,87
2025-09,79
2025-10,71
2025-11,60
