type,series,name,ticket,freq,unstructured,nominal,block_g,block_s,block_r,block_l,months_lag,agg_method
R,gdp,,RGDP0000,q,2,0,1,0,1,0,2,mean
M,cpi,,MCPI0000,m,0,0,1,0,0,0,1,mean
X,imports_animal_and_vegetable_oils_and_fats,,XIMP1001,q,0,1,1,0,1,0,0,mean
X,imports_beverages_and_tobacco,,XIMP1002,q,0,1,1,0,1,0,0,mean
X,imports_chemicals,,XIMP1003,q,0,1,1,0,1,0,0,mean
X,imports_commodities_and_transactions_not_classified,,XIMP1004,q,0,1,1,0,1,0,0,mean
X,"imports_crude_minerals,_inedible_except_fuels",,XIMP1005,q,0,1,1,0,1,0,0,mean
X,imports_food_and_live_animals,,XIMP1006,q,0,1,1,0,1,0,0,mean
X,imports_machinery_and_transport_equipment,,XIMP1007,q,0,1,1,0,1,0,0,mean
X,imports_manufactured_goods_classified_chiefly_by_materials,,XIMP1008,q,0,1,1,0,1,0,0,mean
X,"imports_mineral_fuels,_lubricants_and_related_materials",,XIMP1009,q,0,1,1,0,1,0,0,mean
X,imports_miscellaneous_manufactured_articles,,XIMP1010,q,0,1,1,0,1,0,0,mean
X,imports_total,,XIMP1000,q,0,1,1,0,1,0,0,mean
F,fiscal_a._compensation_of_employees,,FREV1101,m,0,1,1,0,0,0,1,sum
F,fiscal_a._taxes_on_property,,FREV1102,m,0,1,1,0,0,0,1,sum
F,fiscal_b._taxes_on_goods_&_seervices,,FREV1201,m,0,1,1,0,0,0,1,sum
F,fiscal_b._use_of_goods_&_services,,FREV1202,m,0,1,1,0,0,0,1,sum
F,fiscal_c._interest,,FREV1301,m,0,1,1,0,0,0,1,sum
F,fiscal_c._taxes_on_international_trade_&_trans,,FREV1302,m,0,1,1,0,0,0,1,sum
F,fiscal_d._general_stamp_taxes,,FREV1401,m,0,1,1,0,0,0,1,sum
F,fiscal_d._subsidies,,FREV1402,m,0,1,1,0,0,0,1,sum
F,fiscal_e._grants,,FREV1501,m,0,1,1,0,0,0,1,sum
F,fiscal_e._property_income,,FREV1502,m,0,1,1,0,0,0,1,sum
F,fiscal_f._sales_of_goods_&_services,,FREV1601,m,0,1,1,0,0,0,1,sum
F,fiscal_f._social_benefits,,FREV1602,m,0,1,1,0,0,0,1,sum
F,"fiscal_g._fines,_penalties_&",,FREV1701,m,0,1,1,0,0,0,1,sum
F,fiscal_g._other_payments,,FREV1702,m,0,1,1,0,0,0,1,sum
F,fiscal_h._reimbursements_&_re,,FREV1801,m,0,1,1,0,0,0,1,sum
F,fiscal_i.__general_taxes_on_goods_&_services,,FREV1001,m,0,1,1,0,0,0,1,sum
F,fiscal_i._capital_transfers,,FREV1002,m,0,1,1,0,0,0,1,sum
F,fiscal_i._miscellaneous_&_uni,,FREV1003,m,0,1,1,0,0,0,1,sum
F,fiscal_ii.__taxes_on_specific_services,,FREV2001,m,0,1,1,0,0,0,1,sum
F,fiscal_iii._taxes_on_use/permission_to_use,,FREV2002,m,0,1,1,0,0,0,1,sum
F,fiscal_j._acq_of_non-financial_assets,,FREV1901,m,0,1,1,0,0,0,1,sum
F,fiscal_j._sale_of_non-financial_assets,,FREV1902,m,0,1,1,0,0,0,1,sum
F,fiscal_surplus/deficit,,FDEF0000,m,0,1,1,0,0,0,1,sum
F,fiscal_tax_revenue_(a+b+c+d),,FREV1000,m,0,1,1,0,0,0,1,sum
F,fiscal_total_expenditure,,FEXP0000,m,0,1,1,0,0,0,1,sum
F,fiscal_total_revenue,,FREV0000,m,0,1,1,0,0,0,1,sum
F,fiscal_value_added_tax,,FVAT0000,m,0,1,1,0,0,0,1,sum
F,arrears30,,FARR0000,m,0,1,1,0,0,0,1,last
F,banking_profit,,FBAN0000,q,0,1,1,0,0,0,1,mean
F,bisx_index,,FBIS0000,m,0,0,1,0,0,0,1,mean
F,bisx_no,,FBIS0001,m,0,0,1,0,0,0,1,last
F,bisx_value,,FBIS0002,m,0,0,1,0,0,0,1,mean
F,bisx_volume,,FBIS0003,m,0,0,1,0,0,0,1,mean
G,Gov_Credit,,GCRE0000,m,0,1,1,0,0,0,1,last
G,Priv_Credit,,GCRE0001,m,0,1,1,0,0,0,1,last
G,Rest_Pub_Sect_Credit,,GCRE0002,m,0,1,1,0,0,0,1,last
M,m1,,MCUR0001,m,0,1,1,0,0,0,1,last
M,m2,,MCUR0002,m,0,1,1,0,0,0,1,last
M,m3,,MCUR0003,m,0,1,1,0,0,0,1,last
M,Reserves,,MRES0000,m,0,1,1,0,0,0,0,last
M,Loan_Rates,,MLOA0000,m,0,0,1,0,0,0,1,mean
R,Construction_Permits_The_Bahamas_total,,RCON0000,q,0,0,1,0,1,0,1,mean
R,Construction_Starts_The_Bahamas_total,,RCON0001,q,0,0,1,0,1,0,1,mean
R,Construction_Completions_The_Bahamas_total,,RCON0002,q,0,0,1,0,1,0,1,mean
E,electricity_generated,,EGEN0000,q,0,0,1,0,1,0,2,mean
