date,NearNadir_Composite_Snow_Free,DNB_BRDF-Corrected_NTL
2012-01-01,32854.59778881073,
2012-02-01,33513.40872423351,
2012-03-01,35274.97134128213,
2012-04-01,37540.9069705531,
2012-05-01,33920.36704967916,
2012-06-01,37321.873418189585,
2012-07-01,32979.72407236695,
2012-08-01,33070.35984386504,
2012-09-01,31927.562582865357,
2012-10-01,32443.997396580875,
2012-11-01,33790.571300402284,
2012-12-01,35574.07068925351,
2013-01-01,33949.303796470165,
2013-02-01,34970.76636510342,
2013-03-01,35987.54650801048,
2013-04-01,37345.06728839874,
2013-05-01,37170.92786180973,
2013-06-01,36031.11736652255,
2013-07-01,33885.41104114801,
2013-08-01,34472.64992013431,
2013-09-01,34502.88299589604,
2013-10-01,35068.53386764228,
2013-11-01,34059.982065960765,
2013-12-01,35151.83445711434,
2014-01-01,34712.97124765813,
2014-02-01,34575.372704684734,
2014-03-01,36982.02547966689,
2014-04-01,36905.21042877436,
2014-05-01,36828.41371740401,
2014-06-01,32428.543809764087,
2014-07-01,32141.51885014586,
2014-08-01,31771.319311857224,
2014-09-01,35056.0749752745,
2014-10-01,33445.92667321861,
2014-11-01,33723.096054688096,
2014-12-01,34424.210775613785,
2015-01-01,31968.30156185478,
2015-02-01,34378.729066342115,
2015-03-01,33654.358440712094,
2015-04-01,35585.079265877604,
2015-05-01,33121.99418655038,
2015-06-01,32679.416209876537,
2015-07-01,31605.951668009162,
2015-08-01,30391.399639427662,
2015-09-01,30631.515098780394,
2015-10-01,30915.252070555463,
2015-11-01,31975.767659522593,
2015-12-01,29955.727076768875,
2016-01-01,31793.758216775954,
2016-02-01,32678.74607121013,
2016-03-01,32283.64981022291,
2016-04-01,33046.50832208991,
2016-05-01,31365.81991662085,
2016-06-01,35011.36837334186,
2016-07-01,29695.68517907709,
2016-08-01,31273.719015017152,
2016-09-01,26402.19783999026,
2016-10-01,21209.541971031576,
2016-11-01,26612.930286876857,
2016-12-01,26642.667028814554,
2017-01-01,28738.683996349573,
2017-02-01,28711.337610781193,
2017-03-01,29352.97034581378,
2017-04-01,32378.711898142472,
2017-05-01,29834.75625783205,
2017-06-01,31507.38425319642,
2017-07-01,28119.034235335886,
2017-08-01,29373.309991762042,
2017-09-01,28080.579535420984,
2017-10-01,28248.009895041585,
2017-11-01,29793.43640628457,
2017-12-01,30852.828858427703,
2018-01-01,28285.032681060955,
2018-02-01,30320.510844796896,
2018-03-01,32478.18484956771,
2018-04-01,30377.752521023154,
2018-05-01,35819.73629094288,
2018-06-01,27615.68668343872,
2018-07-01,27836.885771766305,
2018-08-01,27343.55438171327,
2018-09-01,25015.700948452577,
2018-10-01,28187.88718689978,
2018-11-01,28241.59929521382,
2018-12-01,29338.377091020346,
2019-01-01,30090.64012014307,
2019-02-01,29223.97480111569,
2019-03-01,29130.479850761592,
2019-04-01,29745.765544503927,
2019-05-01,29123.062702395953,
2019-06-01,27373.0473021809,
2019-07-01,27308.59717918001,
2019-08-01,25804.023826157674,
2019-09-01,23098.11819951702,
2019-10-01,23188.10001856275,
2019-11-01,25642.10028488934,
2019-12-01,27496.222223334014,
2020-01-01,26798.97170079965,
2020-02-01,27198.468300662935,
2020-03-01,28106.26536342874,
2020-04-01,27083.43910345249,
2020-05-01,26770.212166223675,
2020-06-01,24995.081539493985,
2020-07-01,26276.776375858113,
2020-08-01,23738.293217152357,
2020-09-01,24475.21050632,
2020-10-01,24058.46288593253,
2020-11-01,24875.315170888323,
2020-12-01,27207.95047984086,
2021-01-01,26786.71198709437,
2021-02-01,27239.906430125237,
2021-03-01,27996.51381240785,
2021-04-01,28410.09217179846,
2021-05-01,29050.987666979432,
2021-06-01,28482.888939196477,
2021-07-01,27627.650093652308,
2021-08-01,28564.37919476442,
2021-09-01,26294.26216628775,
2021-10-01,27751.972662336193,
2021-11-01,29989.520975984633,
2021-12-01,29225.608631521463,
2022-01-01,29987.024151556194,
2022-02-01,30766.91075372696,
2022-03-01,31780.118773803115,
2022-04-01,32619.112795367837,
2022-05-01,32651.55802591145,
2022-06-01,29814.099988512695,
2022-07-01,32035.64997639507,
2022-08-01,30279.611733205616,
2022-09-01,28844.95513908565,
2022-10-01,45555.35951939225,
2022-11-01,30055.91925686039,
2022-12-01,,
2023-01-01,31368.3456380032,
2023-02-01,34429.9132257998,
2023-03-01,34803.368490710855,
2023-04-01,39728.85452273488,
2023-05-01,36794.48691356927,
2023-06-01,42306.0609266907,
2023-07-01,34920.63099825382,
2023-08-01,34107.888046599925,
2023-09-01,34497.11317448318,
2023-10-01,32129.696315705776,
2023-11-01,36785.590002536774,
2023-12-01,,
2024-01-01,36525.631130640395,
2024-02-01,34120.76779036224,
2024-03-01,35858.83203832805,
2024-04-01,41104.16037204862,
2024-05-01,36161.612274974585,
2024-06-01,35228.06432764977,
2024-07-01,34431.90146392584,
2024-08-01,37039.17100405134,
2024-09-01,35938.788358680904,
2024-10-01,36650.69671520591,
2024-11-01,39719.98727024719,
2024-12-01,41150.19566872716,
2025-01-01,39009.07985326275,
2025-02-01,37385.69307878241,
2025-03-01,40144.63528836705,
2025-04-01,42179.34753987193,
2025-05-01,45176.17664369941,
2025-06-01,41765.66981175542,
2025-07-01,39394.23325283453,
2025-08-01,39619.55837528035,
2025-09-01,35295.062057804316,
2025-10-01,37500.77573523857,
2025-11-01,41424.88072949648,
2025-12-01,40592.38404560089,
2026-01-01,57200.455667907256,57200.455667907256
