date,gt_bahamas_hotels_united_states,gt_242_jobs_bahamas,gt_wendys_bahamas,gt_kfc_bahamas,gt_bamboo_shack_bahamas,gt_mcdonalds_bahamas,gt_apple_bahamas,gt_samsung_bahamas,gt_iphone_bahamas,gt_android_bahamas,gt_mac_bahamas,gt_bahamas_cruise_united_states,gt_hp_bahamas,gt_dell_bahamas,gt_tablets_bahamas,gt_kelly_s_bahamas,gt_john_bull_bahamas,gt_walmart_bahamas,gt_solomons_bahamas,gt_super_value_bahamas,gt_cost_right_bahamas,gt_amazon_bahamas,gt_bahamas_flights_worldwide,gt_cbs_bahamas,gt_cbs_bahamas,gt_facebook_marketplace_bahamas,gt_junkanoo_bahamas,gt_netflix_bahamas,gt_amazon_prime_bahamas,gt_fusion_superplex_bahamas,gt_island_house_bahamas,gt_rbc_bahamas,gt_commonwealth_bank_bahamas,gt_bahamas_hotels_worldwide,gt_royal_bank_bahamas,gt_scotia_bahamas,gt_cibc_bahamas,gt_bank_of_the_bahamas_bahamas,gt_fidelity_bahamas,gt_bitcoin_bahamas,gt_toyota_bahamas,gt_suzuki_bahamas,gt_kia_bahamas,gt_hyundai_bahamas,gt_bahamas_cruise_worldwide,gt_bmw_bahamas,gt_nissan_bahamas,gt_honda_bahamas,gt_accord_bahamas,gt_beforward_bahamas,gt_be_forward_bahamas,gt_sbt_japan_bahamas,gt_apartments_for_rent_bahamas,gt_miami_flights_bahamas,gt_orlando_flights_bahamas,gt_restaurant_bahamas,gt_miami_hotels_bahamas,gt_orlando_hotels_bahamas,gt_nassau_bahamas,gt_exuma_bahamas,gt_abaco_bahamas,gt_harbour_island_bahamas,gt_disney_world_bahamas,gt_rooms_to_go_bahamas,gt_fedex_bahamas,gt_700_wines_and_spirits_bahamas,gt_jobs_bahamas,gt_fresh_market_bahamas,gt_airbnb_bahamas_worldwide,gt_kraven_bahamas,gt_linkedin_bahamas
2004-01-01,100,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,59,0,0,0,0
2004-02-01,83,0,0,0,0,0,0,0,0,0,0,45,77,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,81,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,76,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,56,0,100,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,67,0,0,0,0,0,0,0,0,0,0,40,0,100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,63,0,0,49,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2004-06-01,56,0,0,0,0,0,0,0,0,0,53,42,0,0,0,0,0,0,0,0,0,17,49,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,55,0,0,67,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,57,0,0,0,0,0,0,0,0,0,100,45,74,94,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,49,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,33,100,100,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,58,0,0,100,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,61,0,0,0,0
2004-09-01,46,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,93,0,0,0,0,0,64,0,0,0,0
2004-10-01,38,0,0,0,0,0,0,0,0,0,0,19,97,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
